h1,h2,lr,accuracy
18,15,0.1,0.8559585492227979
15,10,0.05496590932815285,0.8341968911917098
13,6,0.07148598936654647,0.8528497409326425
15,5,0.05390413036591364,0.8310880829015544
16,10,0.048006565413479585,0.8124352331606217
19,15,0.1,0.8652849740932642
17,12,0.07748295466407643,0.8559585492227979
15,9,0.07448447201531144,0.8383419689119171
15,7,0.06419430119061253,0.8393782383419689
15,9,0.05610043330204606,0.8362694300518134
19,15,0.1,0.8632124352331606
18,14,0.08874147733203822,0.861139896373057
16,11,0.08161297467367483,0.8383419689119171
15,9,0.07290363793214369,0.844559585492228
15,9,0.06450203561709487,0.844559585492228
19,15,0.1,0.8518134715025907
18,14,0.09437073866601911,0.8538860103626943
17,13,0.08799185666984696,0.8569948186528498
16,11,0.08044774730099533,0.8362694300518134
16,10,0.0724748914590451,0.8632124352331606
19,15,0.1,0.8621761658031089
18,15,0.09718536933300956,0.8621761658031089
18,14,0.09258861300142826,0.844559585492228
17,12,0.0865181801512118,0.8414507772020725
16,11,0.07949653580512844,0.8341968911917098
